time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-09T22:39:25.231Z,-21.3484,-67.3462,184.58,4.3,mb,,44,1.772,0.82,us,us70003xid,2019-07-09T02:28:36.040Z,"112km SSW of Uyuni, Bolivia",earthquake,6,9.8,0.178,9,reviewed,us,us
2019-06-09T22:00:51.604Z,-27.3042,-71.3188,10,4.2,mb,,186,0.859,0.76,us,us70003xi6,2019-07-09T03:04:19.040Z,"97km W of Copiapo, Chile",earthquake,3.9,1.9,0.263,4,reviewed,us,us
2019-06-08T21:09:15.121Z,-17.2583,-74.5104,10,4.4,mb,,184,4.813,1.16,us,us600040qg,2019-06-19T00:15:33.040Z,"202km S of Acari, Peru",earthquake,13,2,0.218,6,reviewed,us,us
2019-06-08T13:44:07.995Z,-39.3352,-72.4543,87.97,4.7,mb,,82,0.308,1.08,us,us70003x7p,2019-07-07T16:03:04.102Z,"15km ENE of Loncoche, Chile",earthquake,7,8.2,0.174,10,reviewed,us,us
2019-06-08T11:59:46.759Z,-24.05,-66.9161,198.34,4.3,mwr,,41,1.593,0.54,us,us70003x6w,2019-07-05T08:20:32.040Z,"63km WNW of San Antonio de los Cobres, Argentina",earthquake,5.7,8.2,,,reviewed,us,guc
2019-06-06T17:51:28.213Z,-24.3319,-67.2463,193.76,4.5,mwr,,79,1.618,0.71,us,us70003wee,2019-07-17T18:16:17.040Z,"95km W of San Antonio de los Cobres, Argentina",earthquake,9.6,11.1,,,reviewed,us,guc
2019-06-05T16:19:42.443Z,-27.4146,-70.1933,75.21,5.3,mww,,52,0.154,0.95,us,us70003vu4,2019-06-18T22:48:22.766Z,"14km ESE of Copiapo, Chile",earthquake,5.3,3.8,0.068,21,reviewed,us,us
2019-06-05T07:18:22.385Z,-21.7194,-68.8375,109.89,4.5,mb,,83,0.383,0.8,us,us70003vnr,2019-07-23T11:58:27.040Z,"83km N of Calama, Chile",earthquake,4.8,4.9,0.066,67,reviewed,us,us
2019-06-04T12:48:05.193Z,-19.9569,-69.1259,99.36,4.5,mb,,40,0.185,0.94,us,us70003v8z,2019-07-10T12:10:50.040Z,"110km ENE of Iquique, Chile",earthquake,6.3,4.1,0.062,77,reviewed,us,us
2019-06-04T12:13:06.666Z,-30.3929,-72.0464,20.51,4.4,mb,,150,0.452,1.02,us,us70003v8q,2019-07-10T14:47:31.040Z,"83km SW of Coquimbo, Chile",earthquake,3.6,7,0.239,5,reviewed,us,us
2019-06-04T10:33:39.620Z,-32.1468,-71.8369,29.94,4.4,mwr,,149,0.615,0.66,us,us70003v83,2019-07-10T14:50:58.040Z,"66km WNW of La Ligua, Chile",earthquake,2.6,5.2,0.037,70,reviewed,us,us
2019-06-04T03:16:01.821Z,-21.772,-68.742,120.12,4.3,mwr,,45,0.465,0.97,us,us70003v2z,2019-07-15T01:02:39.040Z,"79km NNE of Calama, Chile",earthquake,5.4,5.9,,,reviewed,us,guc
