DATE,LATITUDE,LONGITUDE,DEPTH,GAP,MAGNITUDE,MAGTYPE,DMIN,RMS,PLACE,TSUNAMI
1994-06-05 01:45:02.160,-10.349,113.398,25.9,,6.1,mw,,1.3,"south of Java, Indonesia",1
1994-09-01 15:15:48.310,40.4055,-126.3028333,4.972,271,7,mw,1.504,0.34,off the coast of Northern California,1
1994-10-04 13:22:55.840,43.773,147.321,14,,8.3,mw,,0.9,Kuril Islands,1
1994-10-08 21:44:07.210,-1.258,127.98,16.6,,6.8,mwb,,1.2,"Kepulauan Obi, Indonesia",1
1994-10-09 07:55:39.580,43.905,147.916,33,,7.3,mw,,0.9,Kuril Islands,1
1994-11-14 19:15:30.660,13.525,121.067,31.5,,7.1,mw,,1.1,"Mindoro, Philippines",1
1994-12-28 12:19:23.030,40.525,143.419,26.5,,7.8,mw,,1.1,"off the east coast of Honshu, Japan",1
1995-01-16 20:46:52.120,34.583,135.018,21.9,,6.9,mw,,1,"near the south coast of western Honshu, Japan",1
1995-04-07 22:06:56.890,-15.199,-173.529,21.2,,7.4,mw,,1.1,Tonga,1
1995-04-21 00:34:46.090,12.059,125.58,20.7,,7.2,mw,,1.2,"Samar, Philippines",1
1995-04-21 05:17:01.330,12.047,125.92,27.4,,6.8,mw,,1.1,"Samar, Philippines",1
1995-05-16 20:12:44.220,-23.008,169.9,20.2,,7.7,mw,,1.3,southeast of the Loyalty Islands,1
1995-05-27 13:03:52.650,52.629,142.827,11,,7.1,mwb,,0.9,"Sakhalin, Russia",1
1995-07-30 05:11:23.630,-23.34,-70.294,45.6,,8,mw,,1.1,"Antofagasta, Chile",1
1995-08-16 10:27:28.630,-5.799,154.178,30.1,,7.7,mw,,1.3,"Bougainville region, Papua New Guinea",1
1995-10-09 15:35:53.910,19.055,-104.205,33,,8,mw,,1.3,"Colima, Mexico",1
1995-10-18 10:37:26.380,27.929,130.175,28.4,,7.1,mw,,1.2,"Ryukyu Islands, Japan",1
1995-11-01 00:35:32.700,-28.906,-71.417,19.9,,6.7,mw,,1.1,"Atacama, Chile",1
1995-11-22 04:15:11.940,28.826,34.799,10,,7.2,mw,,1.3,Egypt,1
1995-12-03 18:01:08.990,44.663,149.3,33,,7.9,mw,,1.1,Kuril Islands,1
1996-01-01 08:05:10.830,0.729,119.931,24,,7.9,mw,,1.2,"Minahasa, Sulawesi, Indonesia",1
1996-02-21 12:51:01.300,-9.593,-79.587,10,,7.5,mw,,1.2,off the coast of northern Peru,1
1996-02-25 03:08:15.870,15.978,-98.07,21.1,,7.1,mw,,1.2,"offshore Oaxaca, Mexico",1
1996-06-10 04:03:35.480,51.564,-177.632,33,,7.9,mwc,,0.9,"Andreanof Islands, Aleutian Islands, Alaska",1
1996-06-10 15:24:56.000,51.478,-176.847,26.3,,7.3,mwc,,1,"Andreanof Islands, Aleutian Islands, Alaska",1
1996-09-04 18:16:01.960,31.555,139.931,33,,5.7,mwc,,1.21,"Izu Islands, Japan region",1
1996-09-05 08:14:14.480,-22.118,-113.436,10,,6.9,mwc,,1.06,Easter Island region,1
1996-09-05 23:42:06.150,21.898,121.498,20,,6.8,mwc,,1.03,Taiwan region,1
1996-10-18 10:50:20.860,30.568,131.093,10,,6.6,mwc,,1.21,"Kyushu, Japan",1
1996-10-19 14:44:40.790,31.885,131.468,22,,6.7,mwc,,1.02,"Kyushu, Japan",1
1996-11-12 16:59:44.030,-14.993,-75.675,33,,7.7,mwc,,1.11,near the coast of central Peru,1
1996-12-02 22:17:59.240,31.789,131.314,49.2,,6.7,mwc,,1,"Kyushu, Japan",1
1997-04-21 12:02:26.430,-12.584,166.676,33,,7.7,mwc,,0.93,Santa Cruz Islands,1
1997-09-30 06:27:24.780,31.959,141.878,10,,6.2,mwb,,1.08,"Izu Islands, Japan region",1
1997-10-14 09:53:18.150,-22.101,-176.772,167.3,,7.8,mwb,,0.93,south of the Fiji Islands,1
1997-12-05 11:26:54.690,54.841,162.035,33,,7.8,mwc,,1.02,"near the east coast of the Kamchatka Peninsula, Russia",1
1998-05-03 23:30:21.910,22.306,125.308,33,,7.5,mwb,,0.99,southeast of Taiwan,1
1999-08-17 00:01:39.130,40.748,29.864,17,,7.6,mwc,,1.27,western Turkey,1
1999-11-26 13:21:15.570,-16.423,168.214,33,,7.5,mwc,,1.2,Vanuatu,1
2000-05-04 04:21:16.210,-1.105,123.573,26,,7.6,mwc,,1.14,"Sulawesi, Indonesia",1
2000-06-18 14:44:13.310,-13.802,97.453,10,,7.9,mwc,,1.16,South Indian Ocean,1
2000-07-01 07:01:55.580,34.221,139.131,10,,6.1,mwc,,1.04,"near the south coast of Honshu, Japan",1
2000-07-15 01:30:30.500,34.319,139.26,10,,6.1,mwc,,0.88,"near the south coast of Honshu, Japan",1
2000-07-30 12:25:45.570,33.901,139.376,10,,6.5,mwc,,0.94,"Izu Islands, Japan region",1
2000-11-16 04:54:56.740,-3.98,152.169,33,,8,mwc,,1.2,"New Ireland region, Papua New Guinea",1
2001-06-23 20:33:14.130,-16.265,-73.641,33,,8.4,mww,,1.05,near the coast of southern Peru,1
2001-10-12 05:02:34.000,52.63,-132.2,20,,6.1,mwc,,,"Haida Gwaii, Canada",1
2001-12-18 04:02:58.280,23.954,122.734,14,,6.8,mwc,,1.04,Taiwan region,1
2002-01-02 17:22:48.760,-17.6,167.856,21,,7.2,mwc,,0.9,Vanuatu,1
2002-03-05 21:16:09.130,6.033,124.249,31,,7.5,mwc,,0.95,"Mindanao, Philippines",1
2002-03-31 06:52:50.490,24.279,122.179,32.8,,7.1,mwc,,0.96,Taiwan region,1
2002-09-08 18:44:23.710,-3.302,142.945,13,,7.6,mwc,,1.16,"near the north coast of New Guinea, Papua New Guinea",1
2002-09-13 22:28:29.460,13.036,93.068,21,,6.5,mwc,,0.9,"Andaman Islands, India region",1
2003-01-20 08:43:06.070,-10.491,160.77,33,,7.3,mwc,,0.84,Solomon Islands,1
2003-01-22 02:06:34.610,18.77,-104.104,24,,7.6,mwb,,1.4,"offshore Colima, Mexico",1
2003-05-21 18:44:20.100,36.964,3.634,12,19.4,6.8,mwc,,1.13,northern Algeria,1
2003-05-27 17:11:28.820,36.939,3.578,8,44.2,5.8,mwb,,1.15,northern Algeria,1
2003-10-31 01:06:28.280,37.812,142.619,10,61.2,7,mwb,,0.8,"off the east coast of Honshu, Japan",1
2003-11-17 06:43:06.800,51.146,178.65,33,24,7.8,mwc,,1.11,"Rat Islands, Aleutian Islands, Alaska",1
2003-12-27 04:55:25.460,-22.107,169.35,10,38.8,6.1,mwc,,1.01,southeast of the Loyalty Islands,1
